video,sentences,characters,context_ms,translation_ms,total_ms
"낙관적 허무주의",68,5742,28644,87594,116240
"낙관적 허무주의",68,5742,11026,13425,24452
"낙관적 허무주의",68,5742,10303,14444,24748
"낙관적 허무주의",68,5742,16486,14246,30732
"낙관적 허무주의",68,5742,8344,16491,24836
"낙관적 허무주의",68,5742,4994,13986,18981
"낙관적 허무주의",68,5742,4054,15962,20017
"낙관적 허무주의",68,5742,6406,9174,15580
"낙관적 허무주의",68,5742,7570,12840,20411
"낙관적 허무주의",68,5742,6032,11224,17256
"낙관적 허무주의",68,5742,6615,7096,13711
"낙관적 허무주의",68,5742,4387,6722,11109
"낙관적 허무주의",68,5742,4001,3331,7334
"낙관적 허무주의",68,5742,3518,5455,8975
"낙관적 허무주의",68,5742,3033,3684,6717
"낙관적 허무주의",68,5742,3987,5473,9460
"낙관적 허무주의",68,5742,7306,5080,12386
"낙관적 허무주의",68,5742,8313,5462,13777
"낙관적 허무주의",68,5742,4957,4942,9901
"낙관적 허무주의",68,5742,5579,6771,12354
"낙관적 허무주의",68,5742,4746,10787,15535
"EJAE, Audrey Nuna & Rei Ami from KPop Demon Hunters Get Surprised with Platinum Record for "Golden"",193,12113,4224,5495,9720
"EJAE, Audrey Nuna & Rei Ami from KPop Demon Hunters Get Surprised with Platinum Record for "Golden"",193,12113,3921,5752,9675
"EJAE, Audrey Nuna & Rei Ami from KPop Demon Hunters Get Surprised with Platinum Record for "Golden"",193,12113,4598,11553,16157
